ID,Nombre,Peso,Edad,Raza,cantidadComidaRacion
59,Doroteya,25.94,3,Sharpei,596.62
60,Gwendolyn,48.69,12,Border Collie,1119.87
61,Ondrea,14.92,8,Labrador Retriever,343.16
62,Cletis,41.81,6,Bulldog,961.63
63,Hildagarde,7.40,20,Beagle,170.20
64,Woody,30.96,5,Doberman,712.08
65,Bat,39.12,11,Gran Danes,899.76
66,Portie,16.76,19,Galgo,385.48
67,Charlene,40.92,17,Rottweiler,941.16
68,Albertina,22.02,20,Galgo,506.46
69,Ryann,41.32,19,Galgo,950.36
70,Abbi,8.10,11,Dalmata,186.30
71,Ellerey,38.03,13,San Bernardo,874.69
72,Davidson,34.80,5,Galgo,800.40
73,Moria,36.77,8,San Bernardo,845.71
74,Jerrilee,29.54,9,Boxer,679.42
75,Carola,37.94,12,San Bernardo,872.62
76,Katusha,30.68,6,Border Collie,705.64
77,Vernor,42.10,13,Boxer,968.30
78,Jeffrey,20.93,16,Galgo,481.39
79,Irita,32.75,19,Gran Danes,753.25
80,Theressa,20.48,4,Sharpei,471.04
81,Queenie,39.47,15,Doberman,907.81
82,Lurette,7.85,2,Doberman,180.55
83,Robinia,39.88,1,Doberman,917.24
84,Archer,47.02,19,San Bernardo,1081.46
85,Allard,44.94,9,Bulldog,1033.62
86,Barbaraanne,45.08,2,Dalmata,1036.84
87,Alessandra,47.26,3,Bulldog,1086.98
88,Zitella,34.30,9,Pastor Aleman,788.90
89,Gallard,43.66,9,Galgo,1004.18
90,Emlyn,24.19,11,San Bernardo,556.37
91,Drud,37.70,1,Labrador Retriever,867.10
92,Fabiano,11.26,14,Boxer,258.98
93,Farly,24.53,18,Sharpei,564.19
94,Samson,46.86,8,Sharpei,1077.78
95,Rollin,8.00,19,Galgo,184.00
96,Christa,8.97,7,Dalmata,206.31
97,Garwood,47.99,13,Labrador Retriever,1103.77
98,Barde,15.63,17,Boxer,359.49
99,Elwin,39.42,2,Husky,906.66
100,Frasquito,31.19,10,Labrador Retriever,717.37
101,Max,42.79,9,Sharpei,984.17
102,Bertina,11.99,3,Border Collie,275.77
103,Zackariah,42.46,13,Bulldog,976.58
104,Idaline,23.64,20,Galgo,543.72
105,Diane,23.98,18,San Bernardo,551.54
106,Donia,33.54,19,Sharpei,771.42
107,Tessie,36.71,11,Doberman,844.33
108,Base,32.34,14,Bulldog,743.82
109,Beltran,45.98,20,Sharpei,1057.54
110,Arline,46.84,5,Doberman,1077.32
111,Cornela,27.16,1,Dalmata,624.68
112,Lyle,33.95,10,Bulldog,780.85
113,Shawnee,7.00,3,Bloodhound,161.00
114,Nobie,40.74,12,Husky,937.02
115,Ed,41.01,12,Galgo,943.23
116,Derron,32.92,12,Boxer,757.16
117,Conroy,16.09,14,Beagle,370.07
118,Meredithe,23.90,9,Doberman,549.70
119,Kissee,31.70,18,Sharpei,729.10
120,Benni,27.16,12,San Bernardo,624.68
121,Eartha,11.83,5,Beagle,272.09
122,Hamilton,5.57,12,Bulldog,128.11
123,Hesther,38.64,1,Border Collie,888.72
124,Miguel,32.89,3,Boxer,756.47
125,Peyter,40.80,18,Sharpei,938.40
126,Viole,45.61,6,Border Collie,1049.03
127,Rici,27.18,6,Boxer,625.14
128,Rance,23.16,6,Husky,532.68
129,Clint,46.54,17,Bulldog,1070.42
130,Wilburt,18.84,18,Galgo,433.32
131,Shelagh,30.35,1,Doberman,698.05
132,Wye,5.53,11,Husky,127.19
133,Kylynn,17.82,2,Doberman,409.86
134,Franky,26.21,15,Boxer,602.83
135,Estel,13.39,3,Beagle,307.97
136,Cymbre,11.83,13,Beagle,272.09
137,Bunny,47.93,6,Gran Danes,1102.39
138,Buddie,44.67,12,Boxer,1027.41
139,Charleen,37.76,11,Husky,868.48
140,Christabel,46.63,16,Bulldog,1072.49
141,Candide,18.85,9,Doberman,433.55
142,Sylvan,41.09,5,Boxer,945.07
143,Ingar,33.47,4,Husky,769.81
144,Angy,19.58,6,Husky,450.34
145,Sigrid,5.78,11,Bulldog,132.94
146,Rad,36.78,2,Rottweiler,845.94
147,Mimi,48.45,18,Boxer,1114.35
148,Sallyanne,18.33,14,Husky,421.59
149,Lauralee,47.07,9,Galgo,1082.61
150,Berte,26.65,15,Dalmata,612.95
151,Lonnie,15.38,8,Doberman,353.74
152,Ray,17.70,10,San Bernardo,407.10
153,Joby,14.73,5,Sharpei,338.79
154,Cassie,34.06,19,Border Collie,783.38
155,Kyrstin,11.57,4,Bloodhound,266.11
156,Jervis,11.13,20,Gran Danes,255.99
157,Jakie,22.18,8,Beagle,510.14
158,Liz,41.53,5,Boxer,955.19
159,Byram,25.60,11,Doberman,588.80
160,Brittney,31.36,14,Border Collie,721.28
161,Mic,22.32,17,Labrador Retriever,513.36
162,Odele,49.08,9,Sharpei,1128.84
163,Pansie,38.95,17,Rottweiler,895.85
164,Glenden,25.63,4,San Bernardo,589.49
165,Lorettalorna,9.38,17,Beagle,215.74
166,Early,30.52,5,Sharpei,701.96
167,Izak,43.39,3,Dalmata,997.97
168,Kimmy,29.86,13,Rottweiler,686.78
169,Talbert,25.83,16,Doberman,594.09
170,Ethelbert,6.91,11,Husky,158.93
171,Morganica,8.38,6,Bloodhound,192.74
172,Lucilia,18.28,2,Bulldog,420.44
173,Iona,11.30,1,Bulldog,259.90
174,Scotty,5.48,17,Galgo,126.04
175,Vannie,44.23,2,Doberman,1017.29
176,Albert,32.42,11,Border Collie,745.66
177,Angel,25.18,11,Doberman,579.14
178,Jermain,19.01,12,Dalmata,437.23
179,Candy,19.94,14,Rottweiler,458.62
180,Judi,31.54,14,Rottweiler,725.42
181,Carin,37.73,7,Galgo,867.79
182,Errick,10.84,1,Gran Danes,249.32
183,Janifer,33.55,14,San Bernardo,771.65
184,Clementina,23.64,5,Pastor Aleman,543.72
185,Spense,11.33,12,San Bernardo,260.59
186,Gordon,20.22,1,Bulldog,465.06
187,Ginelle,13.32,7,San Bernardo,306.36
188,Mallorie,24.96,19,San Bernardo,574.08
189,Bing,18.53,6,Bloodhound,426.19
190,Laverna,37.25,16,Bulldog,856.75
191,Kevin,46.25,20,Pastor Aleman,1063.75
192,Amalie,27.94,8,Dalmata,642.62
193,Nanny,19.88,1,San Bernardo,457.24
194,Bettye,24.12,8,Bulldog,554.76
195,Jacquie,17.26,3,Beagle,396.98
196,Shawn,42.47,10,Beagle,976.81
197,Hi,24.17,16,Border Collie,555.91
198,Uriah,28.75,9,Pastor Aleman,661.25
199,Cross,41.92,17,Gran Danes,964.16
200,Joanne,7.38,7,Gran Danes,169.74
201,Dory,16.49,11,Pastor Aleman,379.27
202,Andrus,38.47,4,Bloodhound,884.81
203,Quint,43.53,7,Beagle,1001.19
204,Janeta,11.85,13,Labrador Retriever,272.55
205,Rennie,30.38,19,Husky,698.74
206,Zena,15.67,19,Husky,360.41
207,Ibrahim,27.13,12,Bloodhound,623.99
208,Matilda,10.86,1,Labrador Retriever,249.78
209,Cyrille,11.98,4,Gran Danes,275.54
210,Gaby,6.42,11,San Bernardo,147.66
211,Jonie,43.09,6,Sharpei,991.07
212,Kath,6.33,12,Galgo,145.59
213,Ethelin,18.11,7,Dalmata,416.53
214,Kaylyn,46.66,16,Bulldog,1073.18
215,Nicola,29.87,10,Doberman,687.01
216,Danielle,44.89,15,Dalmata,1032.47
217,Loretta,9.33,15,Bulldog,214.59
218,Elsey,29.65,18,Border Collie,681.95
219,Jerrome,30.97,11,Border Collie,712.31
220,Chaddy,41.01,16,Beagle,943.23
221,Joseito,47.94,5,Bloodhound,1102.62
222,Terrie,32.36,20,Sharpei,744.28
223,Cherey,27.34,12,Husky,628.82
224,Cindie,19.81,10,Doberman,455.63
225,Davey,39.89,12,Border Collie,917.47
226,Bartlett,31.96,12,Rottweiler,735.08
227,Sonnnie,35.84,3,Beagle,824.32
228,Silas,6.51,6,Border Collie,149.73
229,Grantley,28.41,18,Gran Danes,653.43
230,Kevina,45.64,3,Bloodhound,1049.72
231,Ambros,25.04,6,Border Collie,575.92
232,Alicia,44.78,6,Pastor Aleman,1029.94
233,Vina,12.23,1,Husky,281.29
234,Leilah,38.93,19,Beagle,895.39
235,Bogey,29.12,6,Husky,669.76
236,Huntington,49.39,12,Galgo,1135.97
237,Roanna,8.12,3,San Bernardo,186.76
238,Katy,48.50,9,Pastor Aleman,1115.50
239,Editha,35.60,17,Border Collie,818.80
240,Farrel,23.39,3,Boxer,537.97
241,Jeffie,49.08,15,Doberman,1128.84
242,Arden,24.75,6,Husky,569.25
243,Nealy,41.35,10,Border Collie,951.05
244,Conan,49.88,6,Gran Danes,1147.24
245,Susanna,9.28,5,Boxer,213.44
246,Lindy,13.09,13,Galgo,301.07
247,Roger,17.90,10,Pastor Aleman,411.70
248,Phil,5.14,15,Gran Danes,118.22
249,Kristien,30.68,8,Bulldog,705.64
250,Susannah,12.91,12,Labrador Retriever,296.93
251,Gerrie,20.83,9,Husky,479.09
252,Tanya,13.80,14,Boxer,317.40
253,Staffard,27.23,2,Bloodhound,626.29
254,Annamaria,49.27,7,Bulldog,1133.21
255,Ardella,36.36,8,Husky,836.28
256,Cullin,43.64,11,Labrador Retriever,1003.72
257,Kim,12.71,9,San Bernardo,292.33
258,Valina,13.14,7,Husky,302.22
259,Ron,41.63,14,Beagle,957.49
260,Kale,26.89,13,Galgo,618.47
261,Berrie,31.54,19,Border Collie,725.42
262,Griff,27.99,14,Galgo,643.77
263,Finlay,49.15,7,Bulldog,1130.45
264,Denny,6.13,8,Husky,140.99
265,Tracie,37.04,10,Bulldog,851.92
266,Annadiana,31.46,19,San Bernardo,723.58
267,Matthieu,47.16,14,Doberman,1084.68
268,Nonna,15.26,4,Labrador Retriever,350.98
269,Amargo,48.11,2,Husky,1106.53
270,David,38.12,11,Dalmata,876.76
271,Tan,14.28,9,Dalmata,328.44
272,Leta,23.31,13,Boxer,536.13
273,Roman,24.78,3,Husky,569.94
274,Abram,31.01,1,Boxer,713.23
275,Paxon,39.35,19,Husky,905.05
276,Gaye,5.84,20,Boxer,134.32
277,Ruby,32.88,7,Doberman,756.24
278,Ilyssa,37.95,6,Doberman,872.85
279,Winona,24.55,8,Bulldog,564.65
280,Andreana,40.82,10,Rottweiler,938.86
281,Koo,9.94,16,Doberman,228.62
282,Devin,23.68,16,Gran Danes,544.64
283,Alfons,31.72,2,Pastor Aleman,729.56
284,Piotr,40.66,1,Dalmata,935.18
285,Tedd,21.11,17,Dalmata,485.53
286,Arlyne,14.05,14,Sharpei,323.15
287,Wit,36.35,14,Doberman,836.05
288,Merilyn,9.58,7,Boxer,220.34
289,Elka,24.85,6,Boxer,571.55
290,Rudyard,14.70,14,Bloodhound,338.10
291,Andy,47.89,13,Husky,1101.47
292,Alexio,19.88,13,Bulldog,457.24
293,Hymie,41.18,8,Doberman,947.14
294,Jennilee,22.45,18,Gran Danes,516.35
295,Moira,25.66,12,Dalmata,590.18
296,Dallas,30.17,3,Rottweiler,693.91
297,Essa,21.09,8,Gran Danes,485.07
298,Gwenni,11.78,5,Sharpei,270.94
299,Titus,20.25,10,Rottweiler,465.75
300,Scottie,42.01,19,Doberman,966.23
301,Jennica,36.99,12,Doberman,850.77
302,Allene,6.14,19,Doberman,141.22
303,Nalani,40.75,5,Galgo,937.25
304,Carrie,21.81,14,Bloodhound,501.63
305,Eartha,47.46,18,Gran Danes,1091.58
306,Waylon,23.40,3,Labrador Retriever,538.20
307,Janaya,34.84,1,Dalmata,801.32
308,Harp,10.80,1,Doberman,248.40
309,Bil,44.81,20,Dalmata,1030.63
310,Zack,40.14,8,Galgo,923.22
311,Fay,39.17,7,Gran Danes,900.91
312,Emlyn,21.68,14,San Bernardo,498.64
313,Gretta,29.38,9,Bulldog,675.74
314,Dominick,43.68,10,Labrador Retriever,1004.64
315,Nollie,49.76,9,Bulldog,1144.48
316,Emlyn,37.50,18,Pastor Aleman,862.50
317,Nola,14.77,3,Pastor Aleman,339.71
318,Griswold,5.31,5,Sharpei,122.13
319,Gina,27.58,11,San Bernardo,634.34
320,Brnaby,22.13,11,Husky,508.99
321,Germain,39.00,7,Labrador Retriever,897.00
322,Marget,27.68,10,Pastor Aleman,636.64
323,Cullin,18.58,6,Bulldog,427.34
324,Lanni,22.00,16,Boxer,506.00
325,Kathie,22.25,2,Doberman,511.75
326,Emmy,24.68,14,Galgo,567.64
327,Shirley,27.27,6,Beagle,627.21
328,Gerick,25.05,9,Husky,576.15
329,Rhona,44.73,19,Border Collie,1028.79
330,Gerhardine,49.48,9,Labrador Retriever,1138.04
331,Doreen,18.22,8,Beagle,419.06
332,Zaria,47.09,11,Beagle,1083.07
333,Barris,28.19,4,Pastor Aleman,648.37
334,Helen-elizabeth,24.04,17,Husky,552.92
335,Caroljean,25.93,16,Gran Danes,596.39
336,Jennine,33.90,5,Labrador Retriever,779.70
337,Martyn,20.62,6,Labrador Retriever,474.26
338,Heath,34.42,16,Bulldog,791.66
339,Enrique,42.37,8,Doberman,974.51
340,Morna,25.62,5,Gran Danes,589.26
341,Lutero,39.42,14,Doberman,906.66
342,Marian,19.57,5,Labrador Retriever,450.11
343,Franzen,48.31,20,Boxer,1111.13
344,Wadsworth,24.47,12,Boxer,562.81
345,Corey,22.08,1,Bloodhound,507.84
346,Zsazsa,14.39,14,Galgo,330.97
347,Nicol,37.44,11,Sharpei,861.12
348,Calida,27.73,12,Bulldog,637.79
349,Doro,35.85,8,San Bernardo,824.55
350,Beauregard,43.63,12,Gran Danes,1003.49
351,Nana,20.73,10,Husky,476.79
352,Catha,38.25,7,Rottweiler,879.75
353,Rubia,42.17,13,Sharpei,969.91
354,Annetta,39.06,17,Bulldog,898.38
355,Phillie,33.71,11,Dalmata,775.33
356,Reinaldos,14.39,9,Bulldog,330.97
357,Natassia,46.24,8,Border Collie,1063.52
358,Luciano,24.50,4,Pastor Aleman,563.50
359,Haydon,33.56,18,Gran Danes,771.88
360,Niall,29.69,4,Gran Danes,682.87
361,Viva,9.49,4,Labrador Retriever,218.27
362,Patten,28.33,19,Dalmata,651.59
363,Irene,22.85,20,Sharpei,525.55
364,Renaldo,13.50,11,Bloodhound,310.50
365,Ellette,9.66,15,Dalmata,222.18
366,Bobby,18.99,12,Border Collie,436.77
367,Dreddy,13.84,7,Doberman,318.32
368,Sela,28.02,5,Gran Danes,644.46
369,Pascal,33.81,8,Pastor Aleman,777.63
370,Cary,22.86,19,Doberman,525.78
371,Rufe,35.15,18,Bulldog,808.45
372,Hansiain,15.76,3,Husky,362.48
373,Dicky,36.72,12,Border Collie,844.56
374,Shannon,18.43,12,Sharpei,423.89
375,Kathi,14.56,20,Beagle,334.88
376,Elka,36.48,1,Husky,839.04
377,Ginelle,42.33,5,Doberman,973.59
378,Damiano,47.96,18,Rottweiler,1103.08
379,Martina,44.97,20,Sharpei,1034.31
380,Celinka,31.88,16,Dalmata,733.24
381,Sharona,31.76,10,Husky,730.48
382,Jake,13.08,1,Bulldog,300.84
383,Marshal,32.13,18,Galgo,738.99
384,Neille,33.43,16,Gran Danes,768.89
385,Brion,14.78,2,Labrador Retriever,339.94
386,Carrol,15.69,11,Husky,360.87
387,Margette,9.45,10,San Bernardo,217.35
388,Slade,46.71,15,Labrador Retriever,1074.33
389,Cornelius,43.16,14,Galgo,992.68
390,Leland,21.33,20,Rottweiler,490.59
391,Dirk,21.64,13,Doberman,497.72
392,Trixy,29.55,14,Rottweiler,679.65
393,Filmore,14.26,13,Labrador Retriever,327.98
394,Isa,40.29,16,Rottweiler,926.67
395,Gaylord,17.90,17,Pastor Aleman,411.70
396,Giralda,30.17,10,Sharpei,693.91
397,Addy,26.63,2,Boxer,612.49
398,Mireielle,25.31,5,Bulldog,582.13
399,Filmore,46.92,16,Sharpei,1079.16
400,Bell,26.69,16,Labrador Retriever,613.87
401,Evey,42.29,4,Gran Danes,972.67
402,Tedda,43.63,16,Dalmata,1003.49
403,Saw,21.56,3,Labrador Retriever,495.88
404,Freedman,20.15,1,Bulldog,463.45
405,Minnie,25.33,7,Boxer,582.59
406,Hammad,23.93,11,Gran Danes,550.39
407,Briney,45.69,10,Rottweiler,1050.87
408,Mariska,41.01,16,Gran Danes,943.23
409,Kele,38.25,5,Pastor Aleman,879.75
410,Christiane,46.85,4,Dalmata,1077.55
411,Missy,49.56,11,Bulldog,1139.88
412,Emogene,6.66,6,Bloodhound,153.18
413,Elora,39.01,19,Beagle,897.23
414,Corry,41.80,20,Dalmata,961.40
415,Collie,14.12,4,Boxer,324.76
416,Nikos,47.27,7,Dalmata,1087.21
417,Ky,8.75,18,Bulldog,201.25
418,Leigh,12.87,11,Dalmata,296.01
419,Balduin,38.65,14,Border Collie,888.95
420,Elisabet,6.08,10,Bloodhound,139.84
421,Tasha,26.59,13,Gran Danes,611.57
422,Yuri,37.39,19,Bulldog,859.97
423,Evita,17.34,17,Husky,398.82
424,Kellby,32.28,12,Husky,742.44
425,Timothee,17.07,2,Sharpei,392.61
426,Roch,44.92,17,Labrador Retriever,1033.16
427,Barrie,30.44,18,Border Collie,700.12
428,Tommy,15.18,8,Doberman,349.14
429,Elihu,45.78,20,Rottweiler,1052.94
430,Denis,5.39,4,Rottweiler,123.97
431,Shara,28.70,4,Rottweiler,660.10
432,Dalli,18.69,8,Labrador Retriever,429.87
433,Vernen,37.66,7,San Bernardo,866.18
434,Addi,11.59,6,Husky,266.57
435,Aggie,15.15,17,Dalmata,348.45
436,Ashlee,48.33,17,Boxer,1111.59
437,Ty,33.48,10,San Bernardo,770.04
438,Ulysses,49.77,4,San Bernardo,1144.71
439,Barbabra,23.06,6,San Bernardo,530.38
440,Maxy,21.48,18,Border Collie,494.04
441,Brittan,35.26,11,Border Collie,810.98
442,Harman,30.09,20,San Bernardo,692.07
443,Ervin,37.36,17,Dalmata,859.28
444,Doretta,14.70,12,Bulldog,338.10
445,Anissa,32.39,5,Gran Danes,744.97
446,Karna,47.95,7,Boxer,1102.85
447,Enrique,19.33,12,Dalmata,444.59
448,Burlie,34.59,10,Beagle,795.57
449,Eamon,43.68,16,Doberman,1004.64
450,Rees,49.01,12,Border Collie,1127.23
451,Haven,7.05,11,San Bernardo,162.15
452,Jacintha,38.60,17,Doberman,887.80
453,Torey,22.47,6,Bulldog,516.81
454,Godiva,20.24,5,San Bernardo,465.52
455,Leonard,28.22,3,Border Collie,649.06
456,Rozalie,48.73,3,Bloodhound,1120.79
457,Katee,22.08,2,Husky,507.84
458,Goraud,17.70,2,Dalmata,407.10
459,Lucias,20.26,13,Pastor Aleman,465.98
460,Hinda,42.69,5,Sharpei,981.87
461,Fredek,24.63,7,Beagle,566.49
462,Jannel,14.65,3,Pastor Aleman,336.95
463,Magnum,30.07,7,Dalmata,691.61
464,Kim,43.09,12,Boxer,991.07
465,Dew,48.37,15,San Bernardo,1112.51
466,Johnathan,44.07,8,Beagle,1013.61
467,Gwendolen,22.21,4,Labrador Retriever,510.83
468,Boonie,36.21,2,San Bernardo,832.83
469,Edwina,29.27,14,Galgo,673.21
470,Belva,16.33,20,San Bernardo,375.59
471,Gene,21.59,9,Bloodhound,496.57
472,Brigit,27.77,16,Galgo,638.71
473,Julee,36.22,9,Boxer,833.06
474,Alastair,21.52,4,Labrador Retriever,494.96
475,Pearl,47.86,9,Bloodhound,1100.78
476,Lizabeth,5.70,5,San Bernardo,131.10
477,Stephana,28.81,15,Beagle,662.63
478,Hyatt,42.71,12,Galgo,982.33
479,Ginger,17.40,18,San Bernardo,400.20
480,Brooks,37.25,14,San Bernardo,856.75
481,Stafani,5.47,7,San Bernardo,125.81
482,Charlean,40.86,2,Bulldog,939.78
483,Dinah,26.26,4,Border Collie,603.98
484,Quinton,9.10,9,Galgo,209.30
485,Haydon,11.74,16,Gran Danes,270.02
486,Arlina,49.78,2,Doberman,1144.94
487,Bernadette,33.96,2,Sharpei,781.08
488,Malvin,6.55,7,Bulldog,150.65
489,Heather,38.74,15,Bloodhound,891.02
490,Karol,6.81,4,Beagle,156.63
491,Leela,47.80,7,Beagle,1099.40
492,Ellene,19.19,1,Labrador Retriever,441.37
493,Mendie,40.67,5,Doberman,935.41
494,Kip,44.46,4,Husky,1022.58
495,Giorgio,49.44,8,Beagle,1137.12
496,Carolyne,17.80,10,Boxer,409.40
497,Anthia,46.89,12,Dalmata,1078.47
498,Mara,30.83,20,San Bernardo,709.09
499,Marji,15.42,3,Bulldog,354.66
500,Siobhan,48.86,17,Bulldog,1123.78
501,Abagail,26.06,13,Husky,599.38
502,Ferd,19.71,11,Beagle,453.33
503,Harper,48.42,5,Beagle,1113.66
504,Jeannie,12.18,1,Labrador Retriever,280.14
505,Fernande,34.49,14,San Bernardo,793.27
506,Cordula,36.04,17,Border Collie,828.92
507,Cecilius,35.73,13,Dalmata,821.79
508,Bevin,5.39,7,Husky,123.97
509,Roy,11.81,12,Sharpei,271.63
510,Vonni,29.10,6,Galgo,669.30
511,Casi,21.47,2,Labrador Retriever,493.81
512,Marinna,6.64,17,Bulldog,152.72
513,Aldric,32.12,7,Galgo,738.76
514,Ximenes,27.24,6,Sharpei,626.52
515,Ethan,27.57,10,Labrador Retriever,634.11
516,Gusta,15.32,6,Boxer,352.36
517,Arlee,34.87,11,Doberman,802.01
518,Des,34.02,10,Labrador Retriever,782.46
519,Coop,32.38,15,Rottweiler,744.74
520,Esmeralda,10.70,20,Rottweiler,246.10
521,Marta,36.37,1,Doberman,836.51
522,Bonnee,15.90,3,Sharpei,365.70
523,Robinette,7.24,9,Husky,166.52
524,Hermione,13.10,1,Border Collie,301.30
525,Willi,14.30,20,Doberman,328.90
526,Stewart,43.47,2,Labrador Retriever,999.81
527,Nat,23.71,2,Bloodhound,545.33
528,Bail,41.62,8,Galgo,957.26
529,Christel,25.22,13,Pastor Aleman,580.06
530,Goldy,19.60,10,Beagle,450.80
531,Noll,43.14,14,Doberman,992.22
532,Marie-ann,48.91,1,Sharpei,1124.93
533,Abe,33.34,8,Bloodhound,766.82
534,Peirce,31.97,14,Galgo,735.31
535,Dilly,43.42,1,Dalmata,998.66
536,Jonathon,45.88,11,Rottweiler,1055.24
537,Jameson,11.65,18,Beagle,267.95
538,Sal,47.63,12,Boxer,1095.49
539,Vivia,13.56,4,Bloodhound,311.88
540,Ethelda,48.87,18,Boxer,1124.01
541,Roxanna,40.18,13,Husky,924.14
542,Hal,22.46,10,Gran Danes,516.58
543,Terza,15.36,4,Sharpei,353.28
544,Matthias,20.19,13,Bulldog,464.37
545,Sholom,30.41,16,Dalmata,699.43
546,Jourdan,29.26,18,Border Collie,672.98
547,Tate,41.55,19,Doberman,955.65
548,Grace,38.20,10,Labrador Retriever,878.60
549,Roland,26.51,7,Pastor Aleman,609.73
550,Lisha,12.11,19,Doberman,278.53
551,Athena,13.64,15,Sharpei,313.72
552,Geoffrey,9.03,12,Gran Danes,207.69
553,Tomi,32.32,17,Bulldog,743.36
554,Chiquita,36.41,13,Galgo,837.43
555,Colette,40.84,9,Galgo,939.32
556,Barbee,6.40,7,Pastor Aleman,147.20
557,Lanny,47.06,7,Border Collie,1082.38
558,Torrence,38.60,3,Galgo,887.80
559,Rhodia,35.55,9,Gran Danes,817.65
560,Opaline,20.53,6,Sharpei,472.19
561,Harlie,35.48,20,Pastor Aleman,816.04
562,Katrine,24.16,15,Dalmata,555.68
563,Fernanda,33.39,16,Rottweiler,767.97
564,Tracee,45.47,13,Border Collie,1045.81
565,Vinny,16.50,9,Beagle,379.50
566,Odey,35.63,15,Boxer,819.49
567,Kaia,37.30,5,Husky,857.90
568,Fidelio,39.70,4,Beagle,913.10
569,Donnie,14.91,5,Husky,342.93
570,Rosamond,14.71,5,Border Collie,338.33
571,Greggory,38.75,11,Sharpei,891.25
572,Carri,29.20,3,Gran Danes,671.60
573,Augy,15.94,5,San Bernardo,366.62
574,Reinhard,16.43,17,Beagle,377.89
575,Symon,22.48,10,Beagle,517.04
576,Suzann,27.74,13,Boxer,638.02
577,Urbano,8.60,4,Galgo,197.80
578,Loretta,30.55,11,San Bernardo,702.65
579,Letti,39.97,2,Border Collie,919.31
580,Sebastian,11.77,1,Rottweiler,270.71
581,Jaymee,35.08,18,Boxer,806.84
582,Nichole,16.62,7,Husky,382.26
583,Sheffie,7.68,15,Rottweiler,176.64
584,Mason,39.34,16,Boxer,904.82
585,Ulysses,30.20,19,Husky,694.60
586,Rufus,47.81,6,Boxer,1099.63
587,Thatch,18.79,20,Pastor Aleman,432.17
588,Keven,9.64,18,Doberman,221.72
589,Vale,36.92,16,Galgo,849.16
590,Abdul,21.51,7,Pastor Aleman,494.73
591,Reta,10.55,20,Dalmata,242.65
592,Pascale,29.42,7,San Bernardo,676.66
593,Adina,47.29,16,Doberman,1087.67
594,Sean,33.90,17,Rottweiler,779.70
595,Katha,28.19,17,Galgo,648.37
596,Gothart,17.77,14,Beagle,408.71
597,Janela,41.91,2,Beagle,963.93
598,Beltran,27.83,19,Sharpei,640.09
599,Winny,25.49,16,Galgo,586.27
600,Claudell,8.84,2,Border Collie,203.32
601,Gilberte,24.37,8,Doberman,560.51
602,Abbi,26.81,20,Bulldog,616.63
